,Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
146,199.8889,199.8889,199.8889,29.6889,29.6889,29.6889,5.9907,5.9907,5.9907,5.2818,5.2818,5.2818,146.0
147,199.3333,199.3333,199.3333,24.0833,24.0833,24.0833,5.6563,5.6563,5.6563,4.6323,4.6323,4.6323,147.0
148,189.8889,189.8889,189.8889,22.0389,22.0389,22.0389,4.3481,4.3481,4.3481,3.2661,3.2661,3.2661,148.0
149,181.4444,181.4444,181.4444,17.1444,17.1444,17.1444,3.3794,3.3794,3.3794,2.9659,2.9659,2.9659,149.0
150,194.1111,179.5556,179.5556,32.8611,18.3056,18.3056,5.2286,3.4988,3.4988,4.7744,3.0445,3.0445,150.0
151,192.0,178.1111,178.1111,24.65,10.7611,10.7611,4.8915,3.3309,3.3309,4.1256,2.565,2.565,151.0
152,195.8889,183.1111,183.1111,33.6389,20.8611,20.8611,5.6625,3.7523,3.7523,5.3693,3.4591,3.4591,152.0
153,190.6667,190.6667,190.6667,21.5667,21.5667,21.5667,4.4564,4.4564,4.4564,3.6523,3.6523,3.6523,153.0
154,171.7778,193.2222,193.2222,7.0778,28.5222,28.5222,3.2465,5.0566,5.0566,3.293,5.1031,5.1031,154.0
155,164.1111,187.3333,187.3333,-3.4389,19.7833,19.7833,1.3913,4.2625,4.2625,0.9127,3.7839,3.7839,155.0
156,168.2222,187.0,187.0,5.1222,23.9,23.9,1.8173,4.3878,4.3878,1.8636,4.434,4.434,156.0
157,164.4444,186.8889,186.8889,1.5444,23.9889,23.9889,2.5407,4.4158,4.4158,2.2739,4.149,4.149,157.0
158,169.2222,184.2222,184.2222,1.9722,16.9722,16.9722,2.122,3.5187,3.5187,2.0569,3.4536,3.4536,158.0
159,167.1111,182.5556,182.5556,2.3611,17.8056,17.8056,1.62,3.6564,3.6564,1.3332,3.3696,3.3696,159.0
160,160.7778,179.4444,179.4444,-2.3222,16.3444,16.3444,1.3963,2.8759,2.8759,0.8541,2.3337,2.3337,160.0
161,179.5556,179.5556,179.5556,15.0056,15.0056,15.0056,3.2281,3.2281,3.2281,2.8622,2.8622,2.8622,161.0
162,175.0,175.0,175.0,8.95,8.95,8.95,1.9958,1.9958,1.9958,2.1771,2.1771,2.1771,162.0
163,182.2222,182.2222,182.2222,16.8222,16.8222,16.8222,3.7652,3.7652,3.7652,3.4075,3.4075,3.4075,163.0
164,172.3333,172.3333,172.3333,1.3833,7.8333,7.8333,1.8873,1.8873,1.8873,1.5101,1.5622,1.5622,164.0
165,164.8889,164.8889,164.8889,-11.0111,-1.3111,-1.3111,-0.0725,-0.0725,-0.0725,-0.9871,-0.8305,-0.8305,165.0
166,167.6667,167.6667,167.6667,0.1667,3.6167,3.6167,0.8024,0.8024,0.8024,0.0005,0.1633,0.1633,166.0
167,168.1111,168.1111,168.1111,5.0611,7.8111,7.8111,1.5216,1.5216,1.5216,2.1376,1.6137,1.6137,167.0
168,180.4444,171.7778,171.7778,14.5944,11.6278,11.6278,2.3025,2.1053,2.1053,1.9311,1.7351,1.7351,168.0
169,177.8889,173.4444,173.4444,17.1389,8.5944,8.5944,1.7906,1.7103,1.7103,2.1133,1.1487,1.1487,169.0
170,167.6667,158.5556,158.5556,3.4667,2.1056,2.1056,-0.154,0.0836,0.0836,-0.0752,-0.0019,-0.0019,170.0
171,186.5556,169.8889,169.8889,23.0556,6.7389,6.7389,2.3374,0.8797,0.8797,2.2114,0.2842,0.2842,171.0
172,181.8889,158.5556,158.5556,17.0389,-2.2944,-2.2944,2.5089,-1.0082,-1.0082,2.3974,-1.2619,-1.2619,172.0
173,175.7778,169.4444,169.4444,9.1278,8.5444,8.5444,1.749,0.5151,0.5151,1.3426,0.7358,0.7358,173.0
174,175.0,168.4444,168.4444,7.05,5.6944,5.6944,1.7208,0.6698,0.6698,1.5943,0.3284,0.3284,174.0
175,169.0,157.7778,157.7778,6.7,-6.3222,-6.3222,2.217,0.3692,0.3692,2.0756,-0.5368,-0.5368,175.0
176,172.1111,149.6667,149.6667,11.2611,-12.3333,-12.3333,0.6365,-2.1011,-2.1011,1.1067,-1.9031,-1.9031,176.0
177,175.0,159.7778,159.7778,14.0,2.9278,2.9278,1.3888,-0.0373,-0.0373,1.2993,0.2128,0.2128,177.0
178,173.4444,156.4444,156.4444,16.5444,1.6944,1.6944,2.3873,-0.1102,-0.1102,2.3826,-0.2245,-0.2245,178.0
179,163.4444,158.3333,158.3333,4.5944,5.3833,5.3833,0.8967,-0.0133,-0.0133,0.5453,0.341,0.341,179.0
180,168.0,165.6667,165.6667,2.8,3.6167,3.6167,1.5863,1.6004,1.6004,1.131,1.1966,1.1966,180.0
181,172.5556,156.7778,156.7778,21.0056,2.8278,2.8278,2.3634,-0.1355,-0.1355,3.3516,-0.2272,-0.2272,181.0
182,173.5556,162.6667,162.6667,14.2056,7.5667,7.5667,1.4133,0.576,0.576,1.362,0.931,0.931,182.0
183,180.3333,174.3333,174.3333,16.2333,14.9333,14.9333,1.9492,1.923,1.923,1.1596,1.4589,1.4589,183.0
184,165.5556,161.2222,161.2222,0.1556,4.1722,4.1722,1.4687,0.2146,0.2146,0.9229,0.0944,0.0944,184.0
185,177.1111,163.4444,163.4444,18.6111,1.7444,1.7444,2.1869,0.7426,0.7426,2.335,-0.013,-0.013,185.0
186,181.0,152.3333,152.3333,26.4,-3.7167,-3.7167,3.0221,-0.9944,-0.9944,3.7002,-1.2662,-1.2662,186.0
187,171.8889,163.5556,163.5556,10.9389,2.3056,2.3056,1.2439,0.3144,0.3144,1.466,-0.2959,-0.2959,187.0
188,171.6667,154.5556,154.5556,14.9167,-3.8444,-3.8444,1.7427,-0.3219,-0.3219,1.7587,-0.8606,-0.8606,188.0
189,179.8889,166.3333,166.3333,14.5889,4.7833,4.7833,1.7289,0.624,0.624,1.5328,0.2968,0.2968,189.0
190,176.8889,166.3333,166.3333,15.2389,6.9833,6.9833,1.7141,0.8516,0.8516,1.4675,0.7196,0.7196,190.0
191,172.5556,159.0,159.0,14.1556,0.0,0.0,1.8241,0.1809,0.1809,2.0023,-0.1055,-0.1055,191.0
192,168.1111,166.3333,166.3333,10.6111,5.5833,5.5833,0.995,1.7279,1.7279,0.9135,1.4166,1.4166,192.0
193,173.0,155.6667,155.6667,17.85,-5.7333,-5.7333,1.7264,-1.0129,-1.0129,1.9476,-1.5203,-1.5203,193.0
194,164.0,157.6667,157.6667,7.5,1.9667,1.9667,0.2096,0.1739,0.1739,0.6039,0.708,0.708,194.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0
